AgS,ReT,Resin_pct,Temp,pH,rpm,AdC,Ce,modeled_qe,lo_qe,hi_qe,real_qe,reference,qe_modeled,faf,faf_central,faf_ci_low,faf_ci_high
Aged,PP,37.0,25,7,167,Mixed,0.15776,0.39,0.07,0.8,0.000341,"(Zhang et al., 2025a)",0.41024,0.0008312207488299532,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PE,24.0,25,7,167,Mixed,0.15776,0.33,0.05,0.87,0.000341,"(Zhang et al., 2025a)",0.19673,0.0017333401108117726,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PET,18.0,25,7,167,Mixed,0.15776,0.3,0.05,0.64,0.000341,"(Zhang et al., 2025a)",0.23401654,0.001457161959577729,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PS,17.0,25,7,167,Mixed,0.15776,0.32,0.06,0.64,0.000341,"(Zhang et al., 2025a)",0.265541133,0.001284170162819935,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PET,100.0,25,7,167,Mixed,0.000218,0.34,0.01,3.31,0.0002905,"(Zhang et al., 2025b)",0.0790150828839864,0.0036765132604685813,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PP,52.22,25,7,167,Mixed,0.04,0.29,0.08,0.75,0.0005,"(Ta & Babel, 2023)",0.41024,0.001218798751950078,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PE,21.0,25,7,167,Mixed,0.04,0.23,0.06,0.87,0.0005,"(Ta & Babel, 2023)",0.08285433,0.006034687625860954,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PS,19.0,25,7,167,Mixed,0.04,0.21,0.07,0.54,0.0005,"(Ta & Babel, 2023)",0.09012033,0.00554813769545673,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PE,50.0,25,7,167,Mixed,0.005,0.25,0.07,1.11,0.0145,"(Ta & Babel, 2020)",0.08285433,0.17500594114996765,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PP,21.0,25,7,167,Mixed,0.005,0.3,0.08,0.75,0.0145,"(Ta & Babel, 2020)",0.41024,0.03534516380655226,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PS,7.0,25,7,167,Mixed,0.005,0.23,0.08,0.87,0.0145,"(Ta & Babel, 2020)",0.09517437,0.15235194096898147,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PP,36.6,25,7,167,Mixed,0.0138,0.29,0.08,0.75,9.1e-05,"(Purwiyanto et al., 2020)",0.41024,0.0002218213728549142,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PE,27.7,25,7,167,Mixed,0.0138,0.23,0.07,0.87,9.1e-05,"(Purwiyanto et al., 2020)",0.08285433,0.0010983131479066935,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
Aged,PVC,9.09,25,7,167,Mixed,0.0138,0.2,0.08,0.51,9.1e-05,"(Purwiyanto et al., 2020)",0.08665992,0.0010500817448250586,0.0015952510351947508,0.0011585559499283859,0.006034687625860954
